UF,MUNICIPIO,NO_FANTASIA,CO_CNES,notificacoes
RS,SANTANA DO LIVRAMENTO,SANTA CASA DE MISERICORDIA,2248220,17
SE,ARACAJU,MATERNIDADE NOSSA SENHORA DE LOURDES,5714397,17
SP,CONCHAL,HOSPITAL E MATERNIDADE MADRE VANNINI CONCHAL SP,2084430,17
SP,EMBU DAS ARTES,HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES DE MELLO,2079011,17
SP,HORTOLANDIA,HOSPITAL E MATERNIDADE MUNICIPAL GOVERNADOR MARIO COVAS,2087715,17
SP,JANDIRA,COVID 19 CENTRO DE COMBATE AO CORONAVIRUS CCC JANDIRA,105058,17
SP,MARILIA,HOSPITAL UNIVERSITARIO I DE MARILIA,2081148,17
SP,OSVALDO CRUZ,SANTA CASA DE MISERICORDIA DE OSVALDO CRUZ,2082586,17
SP,SAO BERNARDO DO CAMPO,HOSPITAL MUNICIPAL UNIVERSITARIO,2027356,17
SP,SAO JOSE DOS CAMPOS,UPA PUTIM,7550049,17
AM,JUTAI,UNIDADE HOSPITALAR DE JUTAI,2011875,16
BA,PINDOBACU,HOSPITAL PROFESSOR EDGAR SANTOS,4029801,16
CE,CEDRO,HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR,2499029,16
CE,ICAPUI,HOSPITAL MUNICIPAL MARIA IDALINA RODRIGUES DE MEDEIROS,2561042,16
GO,GOIANESIA,UNIDADE DE PRONTO ATENDIMENTO WALTER AUGUSTO FERNANDES,7779461,16
GO,GOIANIA,CAIS PARQUE DAS AMENDOEIRAS,2339323,16
GO,GOIANIA,HOSPITAL DE ACIDENTADOS,2518465,16
MA,SAO BENEDITO DO RIO PRETO,HOSPITAL CASSIANA SOUSA MAGALHAES,8013659,16
MA,SAO LUIS,HOSPITAL NINA RODRIGUES,2457768,16
MG,CARMOPOLIS DE MINAS,SANTA CASA MISERICORDIA NOSSA SENHORA CARMO DE C MINAS,2143127,16
MG,CONTAGEM,HOSPITAL SAO JOSE,2154749,16
MG,JUIZ DE FORA,UPA SAO PEDRO,6571573,16
MG,OURO BRANCO,FUNDACAO OURO BRANCO,2139014,16
MG,OURO BRANCO,HOSPITAL RAIMUNDO CAMPOS,2207664,16
MG,PEDRO LEOPOLDO,HOSPITAL MUNICIPAL FRANCISCO GONCALVES,6049265,16
MG,PRATA,PRONTO ATENDIMENTO MUNICIPAL,2145588,16
MS,CAMPO GRANDE,CASSEMS,7467877,16
MS,JARDIM,HOSPITAL MARECHAL RONDON,2558289,16
MS,NOVA ANDRADINA,HOSPITAL CASSEMS,5022118,16
MT,CUIABA,SOTRAUMA HOSPITAL DE ACIDENTADOS TRAUMATOLOGIA E ORTOPEDIA,2655438,16
MT,GUARANTA DO NORTE,HOSPITAL JARDIM VITORIA,3191737,16
PA,ANANINDEUA,HOSPITAL SANTA MARIA DE ANANINDEUA,7283458,16
PA,ANANINDEUA,UNIDADE DE PRONTO ATENDIMENTO UPA III,7112831,16
PA,BELEM,HOSPITAL DO CORACAO,5111730,16
PA,BELEM,UNIDADE DE URGENCIA E EMERGENCIA BATISTA CAMPOS,7084730,16
PA,BRAGANCA,SECRETARIA MUNICIPAL DE SAUDE DE BRAGANCA,6501648,16
PA,BREVES,SECRETARIA MUNICIPAL DE SAUDE DE BREVES,6604625,16
PA,DOM ELISEU,HOSPITAL DAS CLINICAS DE DOM ELISEU,2677598,16
PA,SAO CAETANO DE ODIVELAS,UNIDADE MISTA DE SAO CAETANO DE ODIVELAS,3542017,16
PA,TUCUMA,HOSPITAL E MATERNIDADE SANTO AGOSTINHO,2318172,16
PA,URUARA,HOSPITAL MUNICIPAL DE URUARA,2537028,16
PE,AGUA PRETA,HOSPITAL MUNICIPAL CIENTISTA NELSON CHAVES,2356279,16
PE,CUPIRA,HOSPITAL MUNICIPAL JOSE VERISSIMO DE SOUZA,2354845,16
PE,PAUDALHO,SECRETARIA MUNICIPAL DE SAUDE DE PAUDALHO,2431165,16
PE,PAULISTA,PRONTOCLINICA TORRES GALVAO,2349205,16
PE,RECIFE,HOSPITAL NAVAL DO RECIFE,5396670,16
PR,CASCAVEL,CEONC,2737434,16
PR,GOIOERE,SANTA CASA DE MISERICORDIA DE GOIOERE,2735970,16
PR,IVAIPORA,INSTITUTO LUCENA SANCHEZ,2590182,16
PR,UNIAO DA VITORIA,HOSPITAL REGIONAL DE CARIDADE NOSSA SRA APARECIDA,2568349,16
RJ,CAMPOS DOS GOYTACAZES,HOSPITAL ESCOLA ALVARO ALVIM,2287447,16
RJ,RIO DE JANEIRO,SMS COORDENADORIA GERAL DE ATENCAO PRIMARIA AP 22,5671388,16
RN,NATAL,HOSPITAL UNIMED,3649563,16
RO,OURO PRETO DO OESTE,HOSPITAL MUNICIPAL DRA LAURA MARIA BRAGA,2496879,16
RO,PORTO VELHO,HOSPITAL DAS CLINICAS PORTO VELHO,2515458,16
RS,IGREJINHA,HOSPITAL BOM PASTOR,2227665,16
RS,PARAI,HOSPITAL BENEFICENTE NOSSA SENHORA APARECIDA,2241218,16
SC,URUSSANGA,HOSPITAL NOSSA SENHORA DA CONCEICAO HNSC,2419653,16
SP,ASSIS,HOSPITAL E MATERNIDADE DE ASSIS,2024624,16
SP,GUARULHOS,CASAS ANDRE LUIZ GUARULHOS,2082276,16
SP,INDAIATUBA,UPA JAD MORADA DO SOL INDAIATUBA,2063603,16
SP,ITANHAEM,HOSPITAL REGIONAL JORGE ROSSMANN DE ITANHAEM,2087804,16
SP,PEREIRA BARRETO,SANTA CASA DE MISERICORDIA DE PEREIRA BARRETO,2083027,16
SP,PIRAJUI,SANTA CASA DE PIRAJUI,2080370,16
SP,QUELUZ,HOSPITAL MUNICIPAL DE QUELUZ,2058340,16
SP,SAO PAULO,HOSPITAL SBC,2081741,16
AL,RIO LARGO,HOSPITAL GERAL PROF IB GATTO FALCAO,2720043,15
BA,CAMACARI,HOSPITAL GERAL DE CAMACARI,2388057,15
BA,CONCEICAO DA FEIRA,UNIDADE HOSPITALAR MARIA TEODORA LEAL,3226816,15
BA,IACU,HOSPITAL MUNICIPAL DR VALDIR CALVACANTI MEDRADO,2772671,15
BA,MUCURI,HOSPITAL SAO JOSE,2498804,15
BA,SALVADOR,HOSPITAL MARTAGAO GESTEIRA,4278,15
CE,FORTALEZA,HIAS HOSPITAL INFANTIL ALBERT SABIN,2563681,15
CE,JIJOCA DE JERICOACOARA,HOSPITAL MUNICIPAL DE JIJOCA DE JERICOACOARA,2554623,15
CE,QUIXERE,HOSPITAL MUNICIPAL JOAQUIM MANOEL OLIVEIRA,2526662,15
ES,SERRA,UPA 24 HORAS SERRA OSCARINA MIRANDA BORGES,2485958,15
GO,SANTA HELENA DE GOIAS,HOSPITAL MUNICIPAL DE SANTA HELENA,2383209,15
GO,VALPARAISO DE GOIAS,UPA D ZILDA ARNS,7267096,15
MG,BARBACENA,HOSPITAL POLICLINICA E MATERNIDADE DE BARBACENA,2098474,15
MG,BARBACENA,HOSPITAL REGIONAL DE BARBACENA DR JOSE AMERICO,3698548,15
MG,ESPINOSA,FUNDACAO HOSPITALAR DO MUNICIPIO DE ESPINOSA,2105365,15
MG,FORMIGA,HOSPITAL SAO LUIZ DE FORMIGA,2142376,15
MG,ITURAMA,HOSPITAL MUNICIPAL COVID 19 DE ITURAMA,105619,15
MG,VARGINHA,HOSPITAL BOM PASTOR,2761092,15
MS,CAMPO GRANDE,EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN,9709,15
PA,ELDORADO DOS CARAJAS,HOSPITAL MUNICIPAL DE ELDORADO DO CARAJAS,3003469,15
PA,NOVA IPIXUNA,HOSPITAL MUNICIPAL DE NOVA IPIXUNA,9154388,15
PB,JOAO PESSOA,FUNDACAO NAPOLEAO LAUREANO,2399741,15
PB,JOAO PESSOA,MATERNIDADE CANDIDA VARGAS,2399644,15
PE,AFOGADOS DA INGAZEIRA,HOSPITAL REGIONAL EMILIA CAMARA,2428385,15
PE,ARACOIABA,UNIDADE HOSPITALAR DE ARACOIABA,2715155,15
PE,CABO DE SANTO AGOSTINHO,POLICLINICA DR JAMACI DE MEDEIROS,19,15
PE,CARPINA,UNIDADE MISTA FRANCISCO DE ASSIS CHATEAUBRIAND,2428784,15
PE,CARUARU,HOSPITAL SAO SEBASTIAO,2428989,15
PE,OLINDA,HOSPITAL MUNICIPAL DE REFERENCIA COVID 19 DUARTE COELHO,161799,15
PE,PETROLINA,SECRETARIA MUNICIPAL DE SAUDE DE PETROLINA,5455197,15
PE,RECIFE,HOSPITAL EVANGELICO DE PERNAMBUCO,2752808,15
PE,SURUBIM,HOSPITAL SAO LUIZ,2354551,15
PI,TERESINA,UNIDADE DE SAUDE MATADOURO,2323427,15
PI,TERESINA,UNIDADE INTEGRADA DO MOCAMBINHO,2679671,15
RJ,MARICA,UPA MARICA 24H,7164440,15
RJ,NOVA IGUACU,SES RJ UPA 24H CABUCU,6091997,15
RJ,PIRAI,HOSPITAL FLAVIO LEAL,2267187,15
RJ,RIO DE JANEIRO,SMS CMS BELIZARIO PENNA AP 52,2269554,15
RJ,RIO DE JANEIRO,SMS CMS NECKER PINTO AP 31,2280779,15
RJ,SAO GONCALO,UNIDADE MUNICIPAL DE PRONTO ATENDIMENTO PACHECO,7992122,15
RN,NATAL,HOSPITAL MEMORIAL,2408252,15
RS,CAMAQUA,UA 02 POSTO DE SAUDE DR JOSE TELMO MARDER,2226383,15
RS,FLORES DA CUNHA,HOSPITAL FATIMA,2241145,15
RS,RONDA ALTA,HOSPITAL DOS TRABALHADORES ATRA,2235412,15
RS,SAO MARCOS,VIGILANCIA EM SAUDE,6617646,15
RS,URUGUAIANA,SANTA CASA DE URUGUAIANA,2248190,15
SC,CAPINZAL,PAM DE CAPINZAL,2380358,15
SP,BEBEDOURO,HOSPITAL UNIMED BEBEDOURO,3137163,15
SP,CASA BRANCA,SANTA CASA DE CASA BRANCA,2082306,15
SP,DIADEMA,INNOVA HOSPITAIS ASSOCIADOS LTDA,7261012,15
SP,EMBU DAS ARTES,HOSPITAL DE CAMPANHA COVID 19 EMBU DAS ARTES,89621,15
SP,GUARATINGUETA,SANTA CASA DE MISERICORDIA DE GUARATINGUETA,2081512,15
SP,ITAPEVI,PRONTO SOCORRO VEREADOR LEVY DE LIMA,4048474,15
SP,ITAPEVI,UBS AMADOR BUENO,4048466,15
SP,JACAREI,SANTA CASA DE MISERICORDIA DE JACAREI,2096412,15
SP,LUCELIA,SANTA CASA DE LUCELIA,2081431,15
SP,PILAR DO SUL,SANTA CASA PILAR DO SUL,2078902,15
SP,SAO PAULO,BP HOSPITAL FILANTROPICO,6984649,15
SP,TEODORO SAMPAIO,HOSPITAL REGIONAL DE TEODORO SAMPAIO,2028239,15
SP,VOTORANTIM,UNIDADE MISTA DE VOTORANTIM PRONTO ATENDIMENTO DE VOTORANTIM,2083965,15
AL,MACEIO,UPA 24 HORAS GALBA NOVAES DE CASTRO,2008750,14
AM,MANAUS,FUNDACAO HEMOAM,2013274,14
AM,NOVO AIRAO,UNIDADE HOSPITALAR DE NOVO AIRAO,2708922,14
AP,LARANJAL DO JARI,SES AP HOSPITAL ESTADUAL DE LARANJAL DO JARI,2020076,14
BA,SENHOR DO BONFIM,HOSPITAL MUNICIPAL DOM ANTONIO MONTEIRO,2770512,14
CE,TRAIRI,HOSPITAL E MATERNIDADE JOSE GRANJA RIBEIRO,2479710,14
ES,BAIXO GUANDU,HOSPITAL DOUTOR JOAO DOS SANTOS NEVES,2675714,14
ES,CASTELO,UNIDADE SANITARIA SOLANGE CAMPANHA,2311771,14
GO,ITUMBIARA,HOSPITAL UNIMED REGIONAL SUL GOIAS,7005660,14
GO,SANTO ANTONIO DE GOIAS,HOSPITAL MUNICIPAL BENEDITO VAZ MACHADO,2336960,14
MA,FORMOSA DA SERRA NEGRA,UNIDADE MISTA DE SAUDE OTAVIO LIMA DE ARRUDA,2460580,14
MG,LAVRAS,SANTA CASA DE MISERICORDIA DE LAVRAS,2111659,14
MG,PONTE NOVA,HOSPITAL NOSSA SENHORA DAS DORES,2111640,14
MG,TRES PONTAS,SANTA CASA DE MISERICORDIA DO HOSP SAO FRANCISCO DE ASSIS,2139200,14
MS,DOIS IRMAOS DO BURITI,UNIDADE MISTA DE DOIS IRMAOS DO BURITI,2375966,14
MT,CURVELANDIA,SECRETARIA MUNICIPAL DE SAUDE DE CURVELANDIA,6363830,14
PA,BELEM,UPA JURUNAS,100587,14
PA,CONCEICAO DO ARAGUAIA,HOSPITAL REGIONAL DE CONCEICAO DO ARAGUAIA,2328992,14
PA,ULIANOPOLIS,HOSPITAL SAO FRANCISCO,2616513,14
PB,CAMPINA GRANDE,INSTITUTO DE SAUDE ELPIDIO DE ALMEIDA,2362287,14
PE,BARRA DE GUABIRABA,UNIDADE MISTA PAULO VIANA DE QUEIROZ,2703343,14
PE,BELO JARDIM,SECRETARIA MUNICIPAL DE SAUDE DE BELO JARDIM,6387314,14
PE,JABOATAO DOS GUARARAPES,HOSPITAL DE AERONAUTICA DE RECIFE,3890457,14
PE,PAULISTA,HOSPITAL CENTRAL NOSSA SENHORA APARECIDA,9309594,14
PE,RECIFE,HOSPITAL CAPIBARIBE,9073116,14
PE,RIBEIRAO,SERVICO DE PRONTO ATENDIMENTO,9169571,14
PI,TERESINA,HOSPITAL SAO CARLOS BORROMEO,2323478,14
PR,CURITIBA,UPA PINHEIRINHO,3827836,14
PR,TIBAGI,CENTRO DE SAUDE DE TIBAGI,2740486,14
RJ,DUQUE DE CAXIAS,HSCOR,5364515,14
RJ,MAGE,UNIDADE MISTA DE FRAGOSO,2278677,14
RJ,PETROPOLIS,HOSPITAL MUNICIPAL DR NELSON DE SA EARP,2275589,14
RJ,PORCIUNCULA,UNIDADE DE ATENDIMENTO DR ANTONIO MONTEIRO,2272210,14
RJ,RIO DE JANEIRO,PERINATAL BARRA CASA DE SAUDE LARANJEIRAS,6159397,14
RN,PARNAMIRIM,HOSPITAL REGIONAL DEOCLECIO MARQUES DE LUCENA,3515168,14
RS,CANELA,HOSPITAL DE CANELA,2235609,14
RS,CAXIAS DO SUL,HOSPITAL SAUDE,2223597,14
RS,DOIS IRMAOS,HOSPITAL SAO JOSE DE DOIS IRMAOS IBSAUDE,6844138,14
RS,GRAVATAI,PRONTO ATENDIMENTO MUNICIPAL 24 HORAS GRAVATAI,2229978,14
RS,SANTA MARIA,UPA 24 H SANTA MARIA RS,7015887,14
SP,ALUMINIO,CENTRO DE SAUDE ALUMINIO,2070626,14
SP,BEBEDOURO,UPA DR MANOEL JOAQUIM DOS REIS,7697422,14
SP,JANDIRA,UPA JANDIRA,9753753,14
SP,SANTO ANDRE,DEPARTAMENTO DE VIGILANCIA SAUDE SANTO ANDRE,8818,14
SP,SAO JOSE DOS CAMPOS,UPA CAMPO DOS ALEMAES,9074805,14
SP,SAO PAULO,HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO,2088517,14
SP,SAO PEDRO,SANTA CASA DE SAO PEDRO,2084422,14
SP,SAO SEBASTIAO,PRONTO SOCORRO CENTRAL,2766108,14
SP,VARZEA PAULISTA,HOSPITAL MUNICIPAL DR AUCIPIO DA SILVA OLIVEIRA JUNIOR,3949621,14
AM,APUI,UNIDADE HOSPITALAR DE APUI,2013282,13
AM,BOA VISTA DO RAMOS,UNIDADE HOSPITALAR DE BOA VISTA DO RAMOS,2016354,13
AM,GUAJARA,UNIDADE HOSPITALAR DE GUAJARA,2017997,13
BA,ARACI,HOSPITAL MUNICIPAL NOSSA SENHORA DA CONCEICAO,2598213,13
BA,CAMPO ALEGRE DE LOURDES,HOSPITAL MUNICIPAL DE CAMPO ALEGRE DE LOURDES,6600476,13
BA,JEQUIE,HOSPITAL SANTA HELENA,2550555,13
BA,REMANSO,HOSPITAL SAO PEDRO,2509369,13
BA,SALVADOR,HOSPITAL ESPECIALIZADO OCTAVIO MANGABEIRA,4065,13
CE,CARIRE,HOSPITAL MUNICIPAL DE CARIRE,7043597,13
CE,PARAMBU,HOSP MUNIC DR CICERO F FILHO,2561026,13
ES,MARATAIZES,PRONTO ATENDIMENTO DA BARRA,2547392,13
GO,APARECIDA DE GOIANIA,HOSPITAL SAO SILVESTRE,2589605,13
GO,BOM JESUS DE GOIAS,HOSPITAL MUNICIPAL JOSE REZENDE DE BOM JESUS,3354423,13
GO,GOIANESIA,HOSPITAL BANCO DE SANGUE E LABORAT SAO CARLOS GOIANESIA,2507102,13
GO,GOIANIA,HOSPITAL DO RIM,2665271,13
GO,JATAI,HOSPITAL UNIMED DE JATAI,3287777,13
MA,COROATA,HOSPITAL REGIONAL ALEXANDRE MAMEDE TROVAO DE COROATA,7088302,13
MA,SAO LUIS,INSTITUTO MARANHENSE DE ONCOLOGIA ALDENORA BELO IMOAB,2697696,13
MA,SAO RAIMUNDO DAS MANGABEIRAS,UNIDADE MISTA SAO RAIMUNDO NONATO,2646617,13
MG,DIVINOPOLIS,HOSPITAL SANTA LUCIA DE DIVINOPOLIS,2192012,13
MG,MARIANA,MARIANA UNIDADE DE PRONTO ATENDIMENTO DR ELIAS SALIM MANSUR,2163292,13
MG,POCOS DE CALDAS,SANTA CASA DE POCOS DE CALDAS,2129469,13
MG,SACRAMENTO,SANTA CASA DE MISERECORDIA DE SACRAMENTO,2109034,13
MG,VICOSA,HOSPITAL SAO JOAO BATISTA,2099438,13
MT,RONDONOPOLIS,HOSP DE REF SAUDE DA FAMILIA DR ANTONIO DOS S MUNIZ,3028925,13
PA,ABEL FIGUEIREDO,HOSPITAL MUNICIPAL DE ABEL FIGUEIREDO ALTAIR ATAIDE MATEUS,2329387,13
PA,LIMOEIRO DO AJURU,HOSPITAL MUNICIPAL DE LIMOEIRO DO AJURU,2772329,13
PA,MELGACO,HOSPITAL MUNICIPAL DE MELGACO,6559476,13
PA,NOVO PROGRESSO,CLINICA SINHA,5886201,13
PA,RIO MARIA,HOSPITAL MUNICIPAL DE RIO MARIA,2317990,13
PE,ARCOVERDE,HOSPITAL MEMORIAL ARCOVERDE LTDA,3369293,13
PE,IGARASSU,UNIDADE HOSPITALAR DE IGARASSU,2639343,13
PE,PESQUEIRA,HOSPITAL DR LIDIO PARAIBA,2638878,13
PR,DOIS VIZINHOS,HOSPITAL E MATERNIDADE SAO JUDAS TADEU,2666626,13
PR,LONDRINA,HOSPITAL DOUTOR EULALINO IGNACIO DE ANDRADE HZS,2577763,13
RJ,DUQUE DE CAXIAS,POSTO MEDICO SANITARIO DO PILAR,2277743,13
RJ,RIO DAS OSTRAS,CLINICA MATER DEI,3193993,13
RJ,RIO DE JANEIRO,CASA DE SAUDE SAO BENTO,3521168,13
RJ,RIO DE JANEIRO,HOSPITAL OESTE DOR,3005879,13
RJ,RIO DE JANEIRO,SES RJ HOSPITAL ESTADUAL EDUARDO RABELLO,7516800,13
RJ,SAO GONCALO,CENTRO MEDICO SAO JOSE DOS LIRIOS LTDA,6652875,13
RO,ROLIM DE MOURA,HOSPITAL MUNICIPAL JOAO AMELIO DA SILVA,2495228,13
RO,SAO FRANCISCO DO GUAPORE,HOSPITAL REGIONAL DE SAO FRANCISCO,7218656,13
RS,ARVOREZINHA,UNIDADE SANITARIA DE ARVOREZINHA,2251213,13
SC,CAMBORIU,HOSPITAL CIRURGICO CAMBORIU,2691523,13
SC,PONTE SERRADA,HOSPITAL SANTA LUZIA DE DEOLINDO JOSE BAGGIO,2411164,13
SP,BARUERI,PRONTO SOCORRO DO ENGENHO NOVO,7522533,13
SP,CAJOBI,HOSPITAL JOAO DEPIERI DE CAJOBI,2081296,13
SP,GUAPIARA,HOSPITAL MUNICIPAL JOAQUIM RAIMUNDO GOMES GUAPIARA,2083264,13
SP,RIO GRANDE DA SERRA,UPA VEREADOR JOSE DA ROCHA GONCALVES,9033351,13
SP,SAO PAULO,HOSP DA AERONAUTICA DE SPHASP,2078600,13
SP,SAO PAULO,HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE,7174691,13
SP,SAO SEBASTIAO DA GRAMA,SANTA CASA DE GRAMA,2082284,13
TO,TOCANTINOPOLIS,HOSPITAL MUNICIPAL JOSE SABOIA TOCANTINOPOLIS,2370344,13
AL,PALMEIRA DOS INDIOS,UNIDADE DE PRONTO ATENDIMENTO PALMEIRA DOS INDIOS,7481624,12
AL,SAO SEBASTIAO,CASA DE PARTO NORMAL NOSSA SENHORA DA PENHA,2719339,12
AM,CARAUARI,UNIDADE HOSPITALAR DE CARAUARI,2017555,12
AM,MANAUS,INSTITUTO DA MULHER DONA LINDU,6627595,12
BA,FEIRA DE SANTANA,HOSPITAL UNIMED,3344320,12
CE,BEBERIBE,HOSPITAL MUNICIPAL MONSENHOR DOURADO,2372819,12
CE,CANINDE,HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,2527413,12
CE,CHAVAL,HOSPITAL MUNICIPAL ELIZETE CARDOSO P PACHECO,2327953,12
CE,ITAITINGA,HOSPITAL DE CAMPANHA COVID 19 HMECA,2724308,12
ES,SERRA,UPA 24 HORAS CARAPINA FRANCISCA MARIA PIMENTEL,5387582,12
ES,VILA VELHA,PRAIA DA COSTA HOSPITAL E MATERNIDADE,3421597,12
GO,GOIANIA,HOSPITAL SANTA MARIA,2518058,12
GO,GOIANIA,HOSPITAL SAO LUCAS,2338181,12
GO,INHUMAS,UNIDADE DE VIGILANCIA EPIDEMIOLOGICA DE INHUMAS,6945996,12
GO,IPORA,HOSPITAL E MATERNIDADE SAO PAULO IPORA,2443198,12
GO,NIQUELANDIA,HOSPITAL MUNICIPAL SANTA EFIGENIA NIQUELANDIA,2534789,12
MA,GRAJAU,HOSPITAL REGIONAL DE GRAJAU,6957501,12
MG,ARAPORA,HOSPITAL JOAO PAULO II,2760916,12
MG,BELO HORIZONTE,HOSPITAL GOVERNADOR ISRAEL PINHEIRO,27030,12
MG,CONQUISTA,SANTA CASA DE MISERICORDIA DE CONQUISTA,2164493,12
MG,ITABIRA,HOSPITAL NOSSA SENHORA DAS DORES,2215586,12
MG,NANUQUE,HOSPITAL E PRONTO SOCORRO MUNICIPAL RENATO AZEREDO,2211262,12
MG,NOVA SERRANA,UPA ANTONIO JOSE DOS SANTOS,2160137,12
MG,RIBEIRAO DAS NEVES,UNIDADE DE PRONTO ATENDIMENTO JOANICO CIRILO DE ABREU,2181797,12
MG,SANTA JULIANA,HOSPITAL MUNICIPAL DE SANTA JULIANA,2180731,12
MG,VARGINHA,HOSPITAL REGIONAL DO SUL DE MINAS,2761041,12
MS,CASSILANDIA,SANTA CASA DE CASSILANDIA,2375680,12
MT,BRASNORTE,HOSPITAL MUNICIPAL DE BRASNORTE BRASNORTE,2471795,12
MT,FELIZ NATAL,CENTRO DE SAUDE FELIZ NATAL,2768135,12
MT,NOBRES,HOSPITAL E MATERNIDADE LAURA DE VICUNA,2802473,12
PA,ALMEIRIM,HOSPITAL MUNICIPAL DE ALMERIM,2331748,12
PA,BELEM,LACEN UNIDADE DE REFERENCIA LABORATORIO CENTRAL,2333163,12
PA,BELEM,UPA MARAMBAIA,50571,12
PA,IGARAPE-MIRI,HOSPITAL DR AFONSO RODRIGUES,2757214,12
PA,VISEU,HOSPITAL DAS BEM AVENTURANCAS HBA,4006429,12
PB,JOAO PESSOA,HOSPITAL SAO VICENTE DE PAULO,2399776,12
PE,BOM JARDIM,SECRETARIA MUNICIPAL DE SAUDE DE BOM JARDIM,2636964,12
PE,GOIANA,MEMORIAL HOSPITAL DE GOIANA,3812553,12
PE,GRAVATA,UNIDADE DE VIGILANCIA EPIDEMIOLOGICA,2726858,12
PE,OLINDA,UNIDADE DE VIGILANCIA A SAUDE,2664046,12
PE,OURICURI,HOSPITAL DE CAMPANHA COVID 19 OURICURI,127647,12
PE,POMBOS,HOSPITAL E MATERNIDADE VIRGINIA COLACO DIAS,2432706,12
PE,TRINDADE,HOSPITAL MUNICIPAL MARIA VENERI,2706709,12
PR,CURITIBA,HOSPITAL XV,3005585,12
PR,JACAREZINHO,SANTA CASA MISERICORDIA DE JACAREZINHO,2783800,12
PR,TERRA BOA,HOSPITAL MUNICIPAL SAO JUDAS TADEU DE TERRA BOA,2567466,12
PR,TOLEDO,HOSPITAL GERAL UNIMED HGU,2809532,12
RJ,CAMBUCI,HOSPITAL MUNICIPAL MOACYR GOMES DE AZEVEDO,2283794,12
RJ,RIO DE JANEIRO,HOSPITAL CLINICA GRAJAU,2298740,12
RJ,RIO DE JANEIRO,PLACI BOTAFOGO,9027645,12
RJ,RIO DE JANEIRO,SMS COORDENADORIA GERAL DE ATENCAO PRIMARIA AP 53,5462835,12
RJ,RIO DE JANEIRO,SMS POLICLINICA RODOLPHO ROCCO AP 32,2270471,12
RO,PORTO VELHO,HOSPITAL SANTA MARCELINA DE RONDONIA,2807092,12
RS,CANGUCU,HOSPITAL DE CARIDADE DE CANGUCU,2232928,12
RS,CRUZEIRO DO SUL,HOSPITAL SAO GABRIEL ARCANJO,2252074,12
RS,DAVID CANABARRO,HOSPITAL SAO JOSE DAVID CANABARRO,2246937,12
RS,ROCA SALES,SOCIEDADE BENEFICENTE ROQUE GONZALES,2252147,12
RS,SAO JOSE DO NORTE,SECRETARIA MUNICIPAL DE SAUDE DE SAO JOSE DO NORTE,6571239,12
SC,MAFRA,HOSPITAL SAO VICENTE DE PAULO,2379333,12
SC,TUBARAO,SOCIMED,3061388,12
SE,ARACAJU,CLINICA SANTA HELENA,2593,12
SP,CAFELANDIA,SANTA CASA DE CAFELANDIA,2791684,12
SP,CAMPINAS,HOSPITAL ESTADUAL DE CAMPANHA COVID 19 CAMPINAS,34053,12
SP,CAMPINAS,HOSPITAL VERA CRUZ,2078376,12
SP,JACAREI,P A UNIMED ESTACAO JACAREI,5601436,12
SP,PENAPOLIS,HOSPITAL DE CAMPANHA COVID 19 CENTRO REG DOS CONSORCIOS,110337,12
SP,PINDAMONHANGABA,SANTA CASA DE PINDAMONHANGABA,2755092,12
SP,SANTO ANDRE,HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN,6020917,12
SP,SANTO ANDRE,UPA PERIMETRAL,7113218,12
SP,SAO PAULO,HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP,2089696,12
SP,SOROCABA,HOSPITAL REGIONAL DE SOROCABA,9491112,12
AM,JAPURA,UNIDADE HOSPITALAR DE JAPURA,2013495,11
AM,MANAUS,LACEN LABORATORIO CENTRAL DE SAUDE PUBLICA DO AMAZONAS,2018764,11
AP,MACAPA,HOSPITAL CENTRAL DE MACAPA,9835520,11
BA,ITAJUIPE,HOSPITAL DR MONTIVAL LUCAS,2602814,11
BA,PRESIDENTE TANCREDO NEVES,HOSPITAL MATERNIDADE LUIS EDUARDO MAGALHAES,2600730,11
BA,TEIXEIRA DE FREITAS,HOSPITAL SOBRASA,2301296,11
CE,FORTALEZA,HOSPITAL DISTRITAL GONZAGA MOTA MESSEJANA,2723212,11
CE,QUIXELO,SECRETARIA MUNICIPAL DE SAUDE DE QUIXELO,6415733,11
CE,TEJUCUOCA,HOSPITAL DE PEQUENO PORTE ROQUE SILVA MOTA,2562146,11
DF,BRASILIA,HOSPITAL DE APOIO DE BRASILIA HAB,2649527,11
DF,BRASILIA,HOSPITAL SAO MATEUS,6730914,11
ES,COLATINA,HOSPITAL SAO JOSE,2448521,11
GO,EDEIA,HOSPITAL MUNICIPAL DR CARLOS MAGNO DA NOBREGA,2569760,11
GO,RIO VERDE,HOSPITAL SANTA TEREZINHA,2340712,11
GO,TRINDADE,HOSPITAL SAO CAMILO TRINDADE,2535408,11
MG,AGUAS FORMOSAS,HOSPITAL SAO VICENTE DE PAULO DE AGUAS FORMOSAS,2183803,11
MG,BARBACENA,HOSPITAL IBIAPABA CEBAMS,2098938,11
