UF;Municipio;Unidade;Notificações
PA;TUCUMA;HOSPITAL E MATERNIDADE SANTO AGOSTINHO;  16
PA;URUARA;HOSPITAL MUNICIPAL DE URUARA;  16
PE;AGUA PRETA;HOSPITAL MUNICIPAL CIENTISTA NELSON CHAVES;  16
PE;CUPIRA;HOSPITAL MUNICIPAL JOSE VERISSIMO DE SOUZA;  16
PE;PAUDALHO;SECRETARIA MUNICIPAL DE SAUDE DE PAUDALHO;  16
PE;PAULISTA;PRONTOCLINICA TORRES GALVAO;  16
PE;RECIFE;HOSPITAL NAVAL DO RECIFE;  16
PR;CASCAVEL;CEONC;  16
PR;GOIOERE;SANTA CASA DE MISERICORDIA DE GOIOERE;  16
PR;IVAIPORA;INSTITUTO LUCENA SANCHEZ;  16
PR;UNIAO DA VITORIA;HOSPITAL REGIONAL DE CARIDADE NOSSA SRA APARECIDA;  16
RJ;CAMPOS DOS GOYTACAZES;HOSPITAL ESCOLA ALVARO ALVIM;  16
RJ;RIO DE JANEIRO;SMS COORDENADORIA GERAL DE ATENCAO PRIMARIA AP 22;  16
RN;NATAL;HOSPITAL UNIMED;  16
RO;OURO PRETO DO OESTE;HOSPITAL MUNICIPAL DRA LAURA MARIA BRAGA;  16
RO;PORTO VELHO;HOSPITAL DAS CLINICAS PORTO VELHO;  16
RS;IGREJINHA;HOSPITAL BOM PASTOR;  16
RS;PARAI;HOSPITAL BENEFICENTE NOSSA SENHORA APARECIDA;  16
SC;URUSSANGA;HOSPITAL NOSSA SENHORA DA CONCEICAO HNSC;  16
SP;ASSIS;HOSPITAL E MATERNIDADE DE ASSIS;  16
SP;DIADEMA;INNOVA HOSPITAIS ASSOCIADOS LTDA;  16
SP;GUARULHOS;CASAS ANDRE LUIZ GUARULHOS;  16
SP;INDAIATUBA;UPA JAD MORADA DO SOL INDAIATUBA;  16
SP;ITANHAEM;HOSPITAL REGIONAL JORGE ROSSMANN DE ITANHAEM;  16
SP;PEREIRA BARRETO;SANTA CASA DE MISERICORDIA DE PEREIRA BARRETO;  16
SP;PIRAJUI;SANTA CASA DE PIRAJUI;  16
SP;QUELUZ;HOSPITAL MUNICIPAL DE QUELUZ;  16
SP;SAO PAULO;HOSPITAL SBC;  16
AL;RIO LARGO;HOSPITAL GERAL PROF IB GATTO FALCAO;  15
BA;CAMACARI;HOSPITAL GERAL DE CAMACARI;  15
BA;CONCEICAO DA FEIRA;UNIDADE HOSPITALAR MARIA TEODORA LEAL;  15
BA;IACU;HOSPITAL MUNICIPAL DR VALDIR CALVACANTI MEDRADO;  15
BA;MUCURI;HOSPITAL SAO JOSE;  15
BA;SALVADOR;HOSPITAL MARTAGAO GESTEIRA;  15
CE;FORTALEZA;HIAS HOSPITAL INFANTIL ALBERT SABIN;  15
CE;JIJOCA DE JERICOACOARA;HOSPITAL MUNICIPAL DE JIJOCA DE JERICOACOARA;  15
CE;QUIXERE;HOSPITAL MUNICIPAL JOAQUIM MANOEL OLIVEIRA;  15
ES;SERRA;UPA 24 HORAS SERRA OSCARINA MIRANDA BORGES;  15
GO;GOIANIA;HOSPITAL DO RIM;  15
GO;SANTA HELENA DE GOIAS;HOSPITAL MUNICIPAL DE SANTA HELENA;  15
GO;VALPARAISO DE GOIAS;UPA D ZILDA ARNS;  15
MG;BARBACENA;HOSPITAL POLICLINICA E MATERNIDADE DE BARBACENA;  15
MG;BARBACENA;HOSPITAL REGIONAL DE BARBACENA DR JOSE AMERICO;  15
MG;ESPINOSA;FUNDACAO HOSPITALAR DO MUNICIPIO DE ESPINOSA;  15
MG;FORMIGA;HOSPITAL SAO LUIZ DE FORMIGA;  15
MG;ITURAMA;HOSPITAL MUNICIPAL COVID 19 DE ITURAMA;  15
MG;VARGINHA;HOSPITAL BOM PASTOR;  15
MS;CAMPO GRANDE;EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN;  15
PA;ELDORADO DOS CARAJAS;HOSPITAL MUNICIPAL DE ELDORADO DO CARAJAS;  15
PA;NOVA IPIXUNA;HOSPITAL MUNICIPAL DE NOVA IPIXUNA;  15
PB;JOAO PESSOA;FUNDACAO NAPOLEAO LAUREANO;  15
PB;JOAO PESSOA;MATERNIDADE CANDIDA VARGAS;  15
PE;AFOGADOS DA INGAZEIRA;HOSPITAL REGIONAL EMILIA CAMARA;  15
PE;ARACOIABA;UNIDADE HOSPITALAR DE ARACOIABA;  15
PE;CABO DE SANTO AGOSTINHO;POLICLINICA DR JAMACI DE MEDEIROS;  15
PE;CARPINA;UNIDADE MISTA FRANCISCO DE ASSIS CHATEAUBRIAND;  15
PE;CARUARU;HOSPITAL SAO SEBASTIAO;  15
PE;OLINDA;HOSPITAL MUNICIPAL DE REFERENCIA COVID 19 DUARTE COELHO;  15
PE;PETROLINA;SECRETARIA MUNICIPAL DE SAUDE DE PETROLINA;  15
PE;RECIFE;HOSPITAL EVANGELICO DE PERNAMBUCO;  15
PE;SURUBIM;HOSPITAL SAO LUIZ;  15
PI;TERESINA;UNIDADE DE SAUDE MATADOURO;  15
PI;TERESINA;UNIDADE INTEGRADA DO MOCAMBINHO;  15
RJ;MARICA;UPA MARICA 24H;  15
RJ;NOVA IGUACU;SES RJ UPA 24H CABUCU;  15
RJ;PIRAI;HOSPITAL FLAVIO LEAL;  15
RJ;RIO DE JANEIRO;SMS CMS BELIZARIO PENNA AP 52;  15
RJ;RIO DE JANEIRO;SMS CMS NECKER PINTO AP 31;  15
RJ;SAO GONCALO;UNIDADE MUNICIPAL DE PRONTO ATENDIMENTO PACHECO;  15
RN;NATAL;HOSPITAL MEMORIAL;  15
RS;CAMAQUA;UA 02 POSTO DE SAUDE DR JOSE TELMO MARDER;  15
RS;FLORES DA CUNHA;HOSPITAL FATIMA;  15
RS;RONDA ALTA;HOSPITAL DOS TRABALHADORES ATRA;  15
RS;SAO MARCOS;VIGILANCIA EM SAUDE;  15
RS;URUGUAIANA;SANTA CASA DE URUGUAIANA;  15
SC;CAPINZAL;PAM DE CAPINZAL;  15
SP;BEBEDOURO;HOSPITAL UNIMED BEBEDOURO;  15
SP;CASA BRANCA;SANTA CASA DE CASA BRANCA;  15
SP;EMBU DAS ARTES;HOSPITAL DE CAMPANHA COVID 19 EMBU DAS ARTES;  15
SP;GUARATINGUETA;SANTA CASA DE MISERICORDIA DE GUARATINGUETA;  15
SP;ITAPEVI;PRONTO SOCORRO VEREADOR LEVY DE LIMA;  15
SP;ITAPEVI;UBS AMADOR BUENO;  15
SP;JACAREI;SANTA CASA DE MISERICORDIA DE JACAREI;  15
SP;LUCELIA;SANTA CASA DE LUCELIA;  15
SP;PILAR DO SUL;SANTA CASA PILAR DO SUL;  15
SP;SAO PAULO;BP HOSPITAL FILANTROPICO;  15
SP;TEODORO SAMPAIO;HOSPITAL REGIONAL DE TEODORO SAMPAIO;  15
SP;VOTORANTIM;UNIDADE MISTA DE VOTORANTIM PRONTO ATENDIMENTO DE VOTORANTIM;  15
AL;MACEIO;UPA 24 HORAS GALBA NOVAES DE CASTRO;  14
AM;MANAUS;FUNDACAO HEMOAM;  14
AM;NOVO AIRAO;UNIDADE HOSPITALAR DE NOVO AIRAO;  14
AP;LARANJAL DO JARI;SES AP HOSPITAL ESTADUAL DE LARANJAL DO JARI;  14
BA;SENHOR DO BONFIM;HOSPITAL MUNICIPAL DOM ANTONIO MONTEIRO;  14
CE;TRAIRI;HOSPITAL E MATERNIDADE JOSE GRANJA RIBEIRO;  14
ES;BAIXO GUANDU;HOSPITAL DOUTOR JOAO DOS SANTOS NEVES;  14
ES;CASTELO;UNIDADE SANITARIA SOLANGE CAMPANHA;  14
GO;ITUMBIARA;HOSPITAL UNIMED REGIONAL SUL GOIAS;  14
GO;SANTO ANTONIO DE GOIAS;HOSPITAL MUNICIPAL BENEDITO VAZ MACHADO;  14
MA;FORMOSA DA SERRA NEGRA;UNIDADE MISTA DE SAUDE OTAVIO LIMA DE ARRUDA;  14
MG;LAVRAS;SANTA CASA DE MISERICORDIA DE LAVRAS;  14
MG;PONTE NOVA;HOSPITAL NOSSA SENHORA DAS DORES;  14
MG;TRES PONTAS;SANTA CASA DE MISERICORDIA DO HOSP SAO FRANCISCO DE ASSIS;  14
MS;DOIS IRMAOS DO BURITI;UNIDADE MISTA DE DOIS IRMAOS DO BURITI;  14
MT;CURVELANDIA;SECRETARIA MUNICIPAL DE SAUDE DE CURVELANDIA;  14
PA;BELEM;UPA JURUNAS;  14
PA;CONCEICAO DO ARAGUAIA;HOSPITAL REGIONAL DE CONCEICAO DO ARAGUAIA;  14
PA;ULIANOPOLIS;HOSPITAL SAO FRANCISCO;  14
PB;CAMPINA GRANDE;INSTITUTO DE SAUDE ELPIDIO DE ALMEIDA;  14
PE;BARRA DE GUABIRABA;UNIDADE MISTA PAULO VIANA DE QUEIROZ;  14
PE;BELO JARDIM;SECRETARIA MUNICIPAL DE SAUDE DE BELO JARDIM;  14
PE;JABOATAO DOS GUARARAPES;HOSPITAL DE AERONAUTICA DE RECIFE;  14
PE;PAULISTA;HOSPITAL CENTRAL NOSSA SENHORA APARECIDA;  14
PE;RECIFE;HOSPITAL CAPIBARIBE;  14
PE;RIBEIRAO;SERVICO DE PRONTO ATENDIMENTO;  14
PI;TERESINA;HOSPITAL SAO CARLOS BORROMEO;  14
PR;CURITIBA;UPA PINHEIRINHO;  14
PR;TIBAGI;CENTRO DE SAUDE DE TIBAGI;  14
RJ;DUQUE DE CAXIAS;HSCOR;  14
RJ;MAGE;UNIDADE MISTA DE FRAGOSO;  14
RJ;PETROPOLIS;HOSPITAL MUNICIPAL DR NELSON DE SA EARP;  14
RJ;PORCIUNCULA;UNIDADE DE ATENDIMENTO DR ANTONIO MONTEIRO;  14
RJ;RIO DE JANEIRO;PERINATAL BARRA CASA DE SAUDE LARANJEIRAS;  14
RN;PARNAMIRIM;HOSPITAL REGIONAL DEOCLECIO MARQUES DE LUCENA;  14
RS;CANELA;HOSPITAL DE CANELA;  14
RS;CAXIAS DO SUL;HOSPITAL SAUDE;  14
RS;DOIS IRMAOS;HOSPITAL SAO JOSE DE DOIS IRMAOS IBSAUDE;  14
RS;GRAVATAI;PRONTO ATENDIMENTO MUNICIPAL 24 HORAS GRAVATAI;  14
RS;SANTA MARIA;UPA 24 H SANTA MARIA RS;  14
SP;ALUMINIO;CENTRO DE SAUDE ALUMINIO;  14
SP;BEBEDOURO;UPA DR MANOEL JOAQUIM DOS REIS;  14
SP;JANDIRA;UPA JANDIRA;  14
SP;SANTO ANDRE;DEPARTAMENTO DE VIGILANCIA SAUDE SANTO ANDRE;  14
SP;SAO PAULO;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;  14
SP;SAO PEDRO;SANTA CASA DE SAO PEDRO;  14
SP;SAO SEBASTIAO;PRONTO SOCORRO CENTRAL;  14
SP;VARZEA PAULISTA;HOSPITAL MUNICIPAL DR AUCIPIO DA SILVA OLIVEIRA JUNIOR;  14
AM;APUI;UNIDADE HOSPITALAR DE APUI;  13
AM;BOA VISTA DO RAMOS;UNIDADE HOSPITALAR DE BOA VISTA DO RAMOS;  13
AM;GUAJARA;UNIDADE HOSPITALAR DE GUAJARA;  13
BA;ARACI;HOSPITAL MUNICIPAL NOSSA SENHORA DA CONCEICAO;  13
BA;CAMPO ALEGRE DE LOURDES;HOSPITAL MUNICIPAL DE CAMPO ALEGRE DE LOURDES;  13
BA;JEQUIE;HOSPITAL SANTA HELENA;  13
BA;REMANSO;HOSPITAL SAO PEDRO;  13
BA;SALVADOR;HOSPITAL ESPECIALIZADO OCTAVIO MANGABEIRA;  13
CE;CARIRE;HOSPITAL MUNICIPAL DE CARIRE;  13
CE;PARAMBU;HOSP MUNIC DR CICERO F FILHO;  13
ES;MARATAIZES;PRONTO ATENDIMENTO DA BARRA;  13
GO;APARECIDA DE GOIANIA;HOSPITAL SAO SILVESTRE;  13
GO;BOM JESUS DE GOIAS;HOSPITAL MUNICIPAL JOSE REZENDE DE BOM JESUS;  13
GO;GOIANESIA;HOSPITAL BANCO DE SANGUE E LABORAT SAO CARLOS GOIANESIA;  13
GO;JATAI;HOSPITAL UNIMED DE JATAI;  13
MA;COROATA;HOSPITAL REGIONAL ALEXANDRE MAMEDE TROVAO DE COROATA;  13
MA;SAO LUIS;INSTITUTO MARANHENSE DE ONCOLOGIA ALDENORA BELO IMOAB;  13
MA;SAO RAIMUNDO DAS MANGABEIRAS;UNIDADE MISTA SAO RAIMUNDO NONATO;  13
MG;DIVINOPOLIS;HOSPITAL SANTA LUCIA DE DIVINOPOLIS;  13
MG;MARIANA;MARIANA UNIDADE DE PRONTO ATENDIMENTO DR ELIAS SALIM MANSUR;  13
MG;POCOS DE CALDAS;SANTA CASA DE POCOS DE CALDAS;  13
MG;SACRAMENTO;SANTA CASA DE MISERECORDIA DE SACRAMENTO;  13
MG;VICOSA;HOSPITAL SAO JOAO BATISTA;  13
MT;RONDONOPOLIS;HOSP DE REF SAUDE DA FAMILIA DR ANTONIO DOS S MUNIZ;  13
PA;ABEL FIGUEIREDO;HOSPITAL MUNICIPAL DE ABEL FIGUEIREDO ALTAIR ATAIDE MATEUS;  13
PA;LIMOEIRO DO AJURU;HOSPITAL MUNICIPAL DE LIMOEIRO DO AJURU;  13
PA;MELGACO;HOSPITAL MUNICIPAL DE MELGACO;  13
PA;NOVO PROGRESSO;CLINICA SINHA;  13
PA;RIO MARIA;HOSPITAL MUNICIPAL DE RIO MARIA;  13
PE;ARCOVERDE;HOSPITAL MEMORIAL ARCOVERDE LTDA;  13
PE;IGARASSU;UNIDADE HOSPITALAR DE IGARASSU;  13
PE;PESQUEIRA;HOSPITAL DR LIDIO PARAIBA;  13
PR;DOIS VIZINHOS;HOSPITAL E MATERNIDADE SAO JUDAS TADEU;  13
PR;LONDRINA;HOSPITAL DOUTOR EULALINO IGNACIO DE ANDRADE HZS;  13
RJ;DUQUE DE CAXIAS;POSTO MEDICO SANITARIO DO PILAR;  13
RJ;RIO DAS OSTRAS;CLINICA MATER DEI;  13
RJ;RIO DE JANEIRO;CASA DE SAUDE SAO BENTO;  13
RJ;RIO DE JANEIRO;SES RJ HOSPITAL ESTADUAL EDUARDO RABELLO;  13
RJ;SAO GONCALO;CENTRO MEDICO SAO JOSE DOS LIRIOS LTDA;  13
RO;ROLIM DE MOURA;HOSPITAL MUNICIPAL JOAO AMELIO DA SILVA;  13
RO;SAO FRANCISCO DO GUAPORE;HOSPITAL REGIONAL DE SAO FRANCISCO;  13
RS;ARVOREZINHA;UNIDADE SANITARIA DE ARVOREZINHA;  13
SC;CAMBORIU;HOSPITAL CIRURGICO CAMBORIU;  13
SC;PONTE SERRADA;HOSPITAL SANTA LUZIA DE DEOLINDO JOSE BAGGIO;  13
SP;BARUERI;PRONTO SOCORRO DO ENGENHO NOVO;  13
SP;CAJOBI;HOSPITAL JOAO DEPIERI DE CAJOBI;  13
SP;GUAPIARA;HOSPITAL MUNICIPAL JOAQUIM RAIMUNDO GOMES GUAPIARA;  13
SP;RIO GRANDE DA SERRA;UPA VEREADOR JOSE DA ROCHA GONCALVES;  13
SP;SAO PAULO;HOSP DA AERONAUTICA DE SPHASP;  13
SP;SAO SEBASTIAO DA GRAMA;SANTA CASA DE GRAMA;  13
TO;TOCANTINOPOLIS;HOSPITAL MUNICIPAL JOSE SABOIA TOCANTINOPOLIS;  13
AL;PALMEIRA DOS INDIOS;UNIDADE DE PRONTO ATENDIMENTO PALMEIRA DOS INDIOS;  12
AL;SAO SEBASTIAO;CASA DE PARTO NORMAL NOSSA SENHORA DA PENHA;  12
AM;CARAUARI;UNIDADE HOSPITALAR DE CARAUARI;  12
AM;MANAUS;INSTITUTO DA MULHER DONA LINDU;  12
BA;FEIRA DE SANTANA;HOSPITAL UNIMED;  12
CE;BEBERIBE;HOSPITAL MUNICIPAL MONSENHOR DOURADO;  12
CE;CANINDE;HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO;  12
CE;CHAVAL;HOSPITAL MUNICIPAL ELIZETE CARDOSO P PACHECO;  12
CE;ITAITINGA;HOSPITAL DE CAMPANHA COVID 19 HMECA;  12
ES;SERRA;UPA 24 HORAS CARAPINA FRANCISCA MARIA PIMENTEL;  12
ES;VILA VELHA;PRAIA DA COSTA HOSPITAL E MATERNIDADE;  12
GO;GOIANIA;HOSPITAL SANTA MARIA;  12
GO;GOIANIA;HOSPITAL SAO LUCAS;  12
GO;INHUMAS;UNIDADE DE VIGILANCIA EPIDEMIOLOGICA DE INHUMAS;  12
GO;IPORA;HOSPITAL E MATERNIDADE SAO PAULO IPORA;  12
GO;NIQUELANDIA;HOSPITAL MUNICIPAL SANTA EFIGENIA NIQUELANDIA;  12
MA;GRAJAU;HOSPITAL REGIONAL DE GRAJAU;  12
MG;ARAPORA;HOSPITAL JOAO PAULO II;  12
MG;BELO HORIZONTE;HOSPITAL GOVERNADOR ISRAEL PINHEIRO;  12
MG;CONQUISTA;SANTA CASA DE MISERICORDIA DE CONQUISTA;  12
MG;ITABIRA;HOSPITAL NOSSA SENHORA DAS DORES;  12
MG;NANUQUE;HOSPITAL E PRONTO SOCORRO MUNICIPAL RENATO AZEREDO;  12
MG;NOVA SERRANA;UPA ANTONIO JOSE DOS SANTOS;  12
MG;RIBEIRAO DAS NEVES;UNIDADE DE PRONTO ATENDIMENTO JOANICO CIRILO DE ABREU;  12
MG;SANTA JULIANA;HOSPITAL MUNICIPAL DE SANTA JULIANA;  12
MG;VARGINHA;HOSPITAL REGIONAL DO SUL DE MINAS;  12
MS;CASSILANDIA;SANTA CASA DE CASSILANDIA;  12
MT;BRASNORTE;HOSPITAL MUNICIPAL DE BRASNORTE BRASNORTE;  12
MT;FELIZ NATAL;CENTRO DE SAUDE FELIZ NATAL;  12
MT;NOBRES;HOSPITAL E MATERNIDADE LAURA DE VICUNA;  12
PA;ALMEIRIM;HOSPITAL MUNICIPAL DE ALMERIM;  12
PA;BELEM;LACEN UNIDADE DE REFERENCIA LABORATORIO CENTRAL;  12
PA;BELEM;UPA MARAMBAIA;  12
PA;IGARAPE-MIRI;HOSPITAL DR AFONSO RODRIGUES;  12
PA;VISEU;HOSPITAL DAS BEM AVENTURANCAS HBA;  12
PB;JOAO PESSOA;HOSPITAL SAO VICENTE DE PAULO;  12
PE;BOM JARDIM;SECRETARIA MUNICIPAL DE SAUDE DE BOM JARDIM;  12
PE;GOIANA;MEMORIAL HOSPITAL DE GOIANA;  12
PE;GRAVATA;UNIDADE DE VIGILANCIA EPIDEMIOLOGICA;  12
PE;OLINDA;UNIDADE DE VIGILANCIA A SAUDE;  12
PE;OURICURI;HOSPITAL DE CAMPANHA COVID 19 OURICURI;  12
PE;POMBOS;HOSPITAL E MATERNIDADE VIRGINIA COLACO DIAS;  12
PE;TRINDADE;HOSPITAL MUNICIPAL MARIA VENERI;  12
PR;CURITIBA;HOSPITAL XV;  12
PR;JACAREZINHO;SANTA CASA MISERICORDIA DE JACAREZINHO;  12
PR;TERRA BOA;HOSPITAL MUNICIPAL SAO JUDAS TADEU DE TERRA BOA;  12
PR;TOLEDO;HOSPITAL GERAL UNIMED HGU;  12
RJ;CAMBUCI;HOSPITAL MUNICIPAL MOACYR GOMES DE AZEVEDO;  12
RJ;RIO DE JANEIRO;HOSPITAL CLINICA GRAJAU;  12
RJ;RIO DE JANEIRO;PLACI BOTAFOGO;  12
RJ;RIO DE JANEIRO;SMS COORDENADORIA GERAL DE ATENCAO PRIMARIA AP 53;  12
RJ;RIO DE JANEIRO;SMS POLICLINICA RODOLPHO ROCCO AP 32;  12
RO;PORTO VELHO;HOSPITAL SANTA MARCELINA DE RONDONIA;  12
RS;CANGUCU;HOSPITAL DE CARIDADE DE CANGUCU;  12
RS;CRUZEIRO DO SUL;HOSPITAL SAO GABRIEL ARCANJO;  12
RS;DAVID CANABARRO;HOSPITAL SAO JOSE DAVID CANABARRO;  12
RS;ROCA SALES;SOCIEDADE BENEFICENTE ROQUE GONZALES;  12
RS;SAO JOSE DO NORTE;SECRETARIA MUNICIPAL DE SAUDE DE SAO JOSE DO NORTE;  12
SC;MAFRA;HOSPITAL SAO VICENTE DE PAULO;  12
SC;TUBARAO;SOCIMED;  12
SE;ARACAJU;CLINICA SANTA HELENA;  12
SP;CAFELANDIA;SANTA CASA DE CAFELANDIA;  12
SP;CAMPINAS;HOSPITAL ESTADUAL DE CAMPANHA COVID 19 CAMPINAS;  12
SP;CAMPINAS;HOSPITAL VERA CRUZ;  12
SP;JACAREI;P A UNIMED ESTACAO JACAREI;  12
SP;PENAPOLIS;HOSPITAL DE CAMPANHA COVID 19 CENTRO REG DOS CONSORCIOS;  12
SP;PINDAMONHANGABA;SANTA CASA DE PINDAMONHANGABA;  12
SP;SANTO ANDRE;HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN;  12
SP;SANTO ANDRE;UPA PERIMETRAL;  12
SP;SAO PAULO;HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP;  12
SP;SOROCABA;HOSPITAL REGIONAL DE SOROCABA;  12
AM;JAPURA;UNIDADE HOSPITALAR DE JAPURA;  11
AM;MANAUS;LACEN LABORATORIO CENTRAL DE SAUDE PUBLICA DO AMAZONAS;  11
AP;MACAPA;HOSPITAL CENTRAL DE MACAPA;  11
BA;ITAJUIPE;HOSPITAL DR MONTIVAL LUCAS;  11
BA;PRESIDENTE TANCREDO NEVES;HOSPITAL MATERNIDADE LUIS EDUARDO MAGALHAES;  11
BA;TEIXEIRA DE FREITAS;HOSPITAL SOBRASA;  11
CE;FORTALEZA;HOSPITAL DISTRITAL GONZAGA MOTA MESSEJANA;  11
CE;QUIXELO;SECRETARIA MUNICIPAL DE SAUDE DE QUIXELO;  11
CE;TEJUCUOCA;HOSPITAL DE PEQUENO PORTE ROQUE SILVA MOTA;  11
DF;BRASILIA;HOSPITAL DE APOIO DE BRASILIA HAB;  11
DF;BRASILIA;HOSPITAL SAO MATEUS;  11
ES;COLATINA;HOSPITAL SAO JOSE;  11
GO;EDEIA;HOSPITAL MUNICIPAL DR CARLOS MAGNO DA NOBREGA;  11
GO;RIO VERDE;HOSPITAL SANTA TEREZINHA;  11
GO;TRINDADE;HOSPITAL SAO CAMILO TRINDADE;  11
MG;AGUAS FORMOSAS;HOSPITAL SAO VICENTE DE PAULO DE AGUAS FORMOSAS;  11
MG;BARBACENA;HOSPITAL IBIAPABA CEBAMS;  11
MG;BELO HORIZONTE;HOSPITAL INFANTIL JOAO PAULO II;  11
MG;GUANHAES;HOSPITAL REGIONAL IMACULADA CONCEICAO;  11
MG;JUIZ DE FORA;DEPARTAMENTO DA UNIDADE REGIONAL LESTE;  11
MG;MONTE CARMELO;PRONTO SOCORRO MUNICIPAL DE MONTE CARMELO;  11
MT;ARIPUANA;HOSPITAL MUNICIPAL SANTO ANTONIO ARIPUANA;  11
MT;DIAMANTINO;CENTRO DE ESPECIALIDADE MEDICA DE DIAMANTINO;  11
PA;BELEM;HOSPITAL MUNICIPAL DE MOSQUEIRO;  11
PA;BELEM;HOSPITAL ONCOLOGICO INFANTIL OCTAVIO LOBO;  11
PA;BELEM;HOSPITAL PEDIATRICO UNIMED;  11
PA;BOM JESUS DO TOCANTINS;HOSPITAL E MATERNIDADE POPULAR;  11
PA;PLACAS;HOSPITAL MUNICIPAL DE PLACAS;  11
PB;JOAO PESSOA;HOSPITAL INFANTIL ARLINDA MARQUES;  11
PE;GARANHUNS;HOSPITAL MONTE SINAI;  11
PE;IPOJUCA;SECRETARIA MUNICIPAL DE SAUDE DO IPOJUCA;  11
PE;NAZARE DA MATA;HOSPITAL ERMIRIO COUTINHO;  11
PE;RECIFE;IMIP HOSPITALAR;  11
PR;IRATI;SANTA CASA DE IRATI;  11
PR;SAO JOAO DO IVAI;HOSPITAL MUNICIPAL DE SAO JOAO DO IVAI;  11
PR;TAMBOARA;HOSPITAL MUNICIPAL JOAO ALEXANDRE;  11
PR;TELEMACO BORBA;IDF;  11
RJ;RIO DE JANEIRO;CLIMES CLINICA MEDICA;  11
RJ;RIO DE JANEIRO;SAO CARLOS SAUDE ONCOLOGICA;  11
RJ;RIO DE JANEIRO;SMS UPA 24H MADUREIRA AP 33;  11
RN;EXTREMOZ;HOSPITAL E MATERNIDADE PRESIDENTE CAFE FILHO;  11
RN;MACAIBA;UNIDADE DE PRONTO ATENDIMENTO MACAIBA UPA;  11
RO;ALTA FLORESTA D'OESTE;HOSPITAL MUNICIPAL VANESSA E VANIA FUZARI;  11
RR;BOA VISTA;HOSPITAL UNIMED DE BOA VISTA;  11
RS;CACHOEIRINHA;HOSPITAL DE CAMPANHA COVID 19;  11
RS;CANDELARIA;PAM DE CANDELARIA;  11
RS;PORTAO;HOSPITAL DE PORTAO;  11
RS;PORTO ALEGRE;AESC HOSPITAL SANTA ANA;  11
RS;SAO LEOPOLDO;VIGILANCIA SANITARIA;  11
RS;SAO MARCOS;HOSPITAL BENEFICENTE SAO JOAO BOSCO;  11
RS;TRES DE MAIO;HOSPITAL SAO VICENTE DE PAULO;  11
SC;POMERODE;HOSPITAL E MATERNIDADE RIO DO TESTO;  11
SC;SAO JOAO BATISTA;HOSPITAL MONSENHOR JOSE LOCKS DE SAO JOAO BATISTA;  11
SP;ASSIS;SANTA CASA DE ASSIS;  11
SP;BRAGANCA PAULISTA;VIGILANCIA EPIDEMIOLOGICA CONTROLE DOENCAS;  11
SP;CAMPINAS;VIGILANCIA EM SAUDE LESTE;  11
SP;ITAPUI;HOSPITAL SAO JOSE;  11
SP;ITIRAPINA;HOSPITAL SAO JOSE ITIRAPINA;  11
SP;MINEIROS DO TIETE;PRONTO ATENDIMENTO MUNICIPAL DE MINEIROS DO TIETE;  11
SP;SAO CARLOS;HOSPITAL UNIMED SAO CARLOS;  11
SP;SAO JOSE DO RIO PRETO;HOSPITAL DO CORACAO DO IMC;  11
SP;SAO LUIS DO PARAITINGA;SANTA CASA DE MISERICORDIA DE SAO LUIZ DO PARAITINGA;  11
SP;SAO PAULO;AMA ENGENHEIRO GOULART DR JOSE PIRES;  11
SP;TAQUARITINGA;SANTA CASA DE TAQUARITINGA;  11
BA;CAMACARI;UPA 24HS GLEBA A GRAVATA;  10
BA;EUNAPOLIS;HOSPITAL AMES;  10
BA;EUNAPOLIS;HOSPITAL DE TRATAMENTO COVID19 CENTRO ATEND DE EUNAPOLIS;  10
BA;ITAPARICA;HOSPITAL GERAL DE ITAPARICA;  10
BA;ITATIM;HOSPITAL MATERNIDADE MARIA EUNICE DULTRA SOARES;  10
BA;MEDEIROS NETO;HOSPITAL MUNICIPAL DE MEDEIROS NETO;  10
BA;NOVA VICOSA;HOSPITAL MUNICIPAL DE NOVA VICOSA;  10
BA;SALVADOR;UNIDADE DE EMERGENCIA MAE HILDA JITOLU;  10
BA;SAO SEBASTIAO DO PASSE;HOSPITAL DR ALBINO LEITAO;  10
CE;CATARINA;HOSPITAL MUNICIPAL DR GENTIL DOMINGUES;  10
CE;FARIAS BRITO;HOSPITAL GERAL DE FARIAS BRITO HGFB;  10
CE;JARDIM;HOSPITAL MUNICIPAL DE JARDIM;  10
CE;JUAZEIRO DO NORTE;HOSPITAL GERAL PADRE CICERO;  10
CE;MERUOCA;HOSPITAL CHAGAS BARRETO;  10
CE;SAO LUIS DO CURU;HOSPITAL MUNICIPAL ANTONIO RIBEIRO DA SILVA;  10
CE;URUBURETAMA;HOSP MUNIC ANTONIO NERY FILHO;  10
ES;CACHOEIRO DE ITAPEMIRIM;HECI HOSPITAL EVANGELICO DE CACHOEIRO DE ITAPEMIRIM;  10
ES;VILA VELHA;VIGILANCIA EPIDEMIOLOGICA VILA VELHA;  10
ES;VITORIA;SERVICO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA SESA;  10
GO;CATALAO;UPA CATALAO;  10
